name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Aberdeen, SD Micro Area",10100,71488,41925,27808,7188,1029,3383,6310,2073,382,473
"Aberdeen, WA Micro Area",10140,64414,77053,56642,14783,4370,7321,6906,2603,568,204
"Abilene, TX Metro Area",10180,67328,180408,114622,27645,8555,10509,19850,8220,1434,943
"Ada, OK Micro Area",10220,63017,38235,25247,7147,1142,1905,4694,2249,247,456
"Adrian, MI Micro Area",10300,70518,98415,69411,21193,3479,7185,10274,4455,538,468
"Aguadilla, PR Metro Area",10380,22398,251769,190498,49135,5296,23004,34595,8954,1341,1412
"Akron, OH Metro Area",10420,72371,699820,492073,133657,14314,40682,107457,48140,9478,7398
"Alamogordo, NM Micro Area",10460,55876,68816,45839,10332,2716,4746,6918,2801,383,322
"Alamosa, CO Micro Area",10480,51237,27718,18092,4073,823,1791,3107,1701,236,271
"Albany, GA Metro Area",10500,56906,146018,97190,26206,5919,9391,11855,7163,2027,1390
"Albany, OR Metro Area",10540,76329,130706,92020,21014,6198,10566,13606,4753,876,613
"Albany-Schenectady-Troy, NY Metro Area",10580,88074,906052,634704,122724,26584,77033,143568,90666,18033,14680
"Albemarle, NC Micro Area",10620,60704,64651,45338,12047,2505,6257,6531,1957,327,203
"Albert Lea, MN Micro Area",10660,71023,30623,21752,6252,941,3448,2664,949,293,53
"Albertville, AL Micro Area",10700,62571,99748,65581,16953,4183,7800,9443,3450,849,387
"Albuquerque, NM Metro Area",10740,70783,921482,650478,125075,28915,62571,128243,72281,14991,16168
"Alexander City, AL Micro Area",10760,59356,40938,29852,8233,1716,3036,3960,1445,419,244
"Alexandria, LA Metro Area",10780,56353,149622,100899,31466,6906,7194,13901,5658,1558,993
"Alexandria, MN Micro Area",10820,79043,39575,28410,7401,863,5114,5724,1905,464,350
"Alice, TX Micro Area",10860,50888,45793,29744,8629,2728,1875,3525,1024,112,225
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,84587,873603,613839,177167,23056,59433,127900,57875,10319,9535
"Alma, MI Micro Area",10940,63556,41385,28638,9026,2489,2518,3682,1336,112,227
"Alpena, MI Micro Area",10980,53950,28880,21702,6376,1162,3139,2484,1066,319,108
"Altoona, PA Metro Area",11020,62382,121277,86786,35338,3985,8200,14576,4879,1113,621
"Altus, OK Micro Area",11060,62799,24678,15940,3355,886,1996,2456,1179,188,134
"Amarillo, TX Metro Area",11100,69611,271917,177871,37990,10541,16590,31863,11472,2734,2066
"Americus, GA Micro Area",11140,43688,33574,21630,6193,1445,2198,2502,1523,358,273
"Ames, IA Metro Area",11180,73127,127134,72273,12872,1640,8383,20313,8441,1770,4078
